cenario,matriz,lambda,tau,pi_sold_teorico,E[S]_teorico,E[Ciclo]_teorico,E[TOM]_teorico,E[TOM]_simulado,DP,IC95_inf,IC95_sup,erro_rel_%,csv
demanda_alta,Poriginal,0.08,1.0,0.6376610505450941,4.578790882061448,17.078790882061448,26.783493938451976,27.208946893274643,23.318226446400605,26.751909654925193,27.665984131624093,1.588489372597731,resultados\demanda_alta_Poriginal.csv
demanda_alta,Palternativa,0.08,1.0,0.6688621302731533,4.824632293518668,17.32463229351867,25.901649247870477,25.963093526247953,21.811843100959983,25.535581401469138,26.390605651026767,0.23722149037489287,resultados\demanda_alta_Palternativa.csv
demanda_baixa,Poriginal,0.04,1.0,0.6376610505450941,4.578790882061448,29.578790882061448,46.3863848305875,46.1516764258009,41.88343878919547,45.33076102553267,46.972591826069134,0.5059855508115252,resultados\demanda_baixa_Poriginal.csv
demanda_baixa,Palternativa,0.04,1.0,0.6688621302731533,4.824632293518668,29.82463229351867,44.590104512777145,44.01203829134923,38.67285837872878,43.254050267126146,44.77002631557231,1.2964002388966693,resultados\demanda_baixa_Palternativa.csv
